"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
"Butchers and other meat, poultry, and fish processing workers",231,767,161,818,69,696
"Food and tobacco roasting, baking, and drying machine operators and tenders",2,–,1,–,1,–
Food batchmakers,57,810,27,–,30,–
Food cooking machine operators and tenders,8,–,6,–,3,–
"Food processing workers, all other",137,927,102,970,35,–
Computer numerically controlled tool operators and programmers,107,"1,055",96,"1,087",11,–
"Forming machine setters, operators, and tenders, metal and plastic",28,–,20,–,8,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",68,780,66,788,2,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,–,30,–,5,–
"Other machine tool setters, operators, and tenders, metal and plastic",8,–,6,–,2,–
Machinists,284,"1,023",263,"1,049",21,–
"Metal furnace operators, tenders, pourers, and casters",15,–,13,–,2,–
"Model makers and patternmakers, metal and plastic",5,–,5,–,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",29,–,27,–,2,–
Tool and die makers,31,–,31,–,0,–
"Welding, soldering, and brazing workers",498,"1,012",465,"1,019",33,–
Other metal workers and plastic workers,347,855,278,906,69,684
Prepress technicians and workers,9,–,9,–,0,–
Printing press operators,117,869,94,914,24,–
Print binding and finishing workers,11,–,11,–,0,–
Laundry and dry-cleaning workers,92,665,24,–,69,636
"Pressers, textile, garment, and related materials",16,–,10,–,6,–
Sewing machine operators,103,673,31,–,71,655
Shoe and leather workers,6,–,3,–,3,–
"Tailors, dressmakers, and sewers",32,–,5,–,27,–
"Textile machine setters, operators, and tenders",17,–,7,–,10,–
Upholsterers,15,–,10,–,5,–
"Other textile, apparel, and furnishings workers",9,–,4,–,6,–
Cabinetmakers and bench carpenters,33,–,32,–,2,–
Furniture finishers,7,–,4,–,2,–
"Sawing machine setters, operators, and tenders, wood",16,–,14,–,2,–
"Woodworking machine setters, operators, and tenders, except sawing",28,–,25,–,4,–
Other woodworkers,15,–,12,–,3,–
"Power plant operators, distributors, and dispatchers",41,–,40,–,1,–
Stationary engineers and boiler operators,72,"1,328",70,"1,337",2,–
Water and wastewater treatment plant and system operators,89,961,81,965,7,–
Miscellaneous plant and system operators,34,–,33,–,1,–
"Chemical processing machine setters, operators, and tenders",41,–,37,–,4,–
"Crushing, grinding, polishing, mixing, and blending workers",94,994,77,"1,020",17,–
Cutting workers,50,826,35,–,15,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",14,–,12,–,1,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",8,–,8,–,0,–
"Inspectors, testers, sorters, samplers, and weighers",718,921,436,"1,010",282,809
Jewelers and precious stone and metal workers,33,–,25,–,8,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,56,722,30,–,26,–
Packaging and filling machine operators and tenders,264,716,117,752,147,698
Painting workers,126,816,114,824,12,–
Photographic process workers and processing machine operators,18,–,9,–,9,–
Adhesive bonding machine operators and tenders,10,–,7,–,3,–
Etchers and engravers,5,–,3,–,2,–
"Molders, shapers, and casters, except metal and plastic",17,–,16,–,1,–
"Paper goods machine setters, operators, and tenders",15,–,8,–,6,–
Tire builders,10,–,9,–,1,–
Helpers--production workers,39,–,29,–,10,–
Other production equipment operators and tenders,7,–,3,–,4,–
Other production workers,"1,162",856,862,893,301,771
Transportation and material moving occupations,"8,664",841,"7,013",897,"1,651",694
Supervisors of transportation and material moving workers,313,"1,016",235,"1,127",78,791
Aircraft pilots and flight engineers,173,"2,015",158,"2,005",15,–
Air traffic controllers and airfield operations specialists,38,–,34,–,3,–
Flight attendants,74,961,19,–,55,815
"Ambulance drivers and attendants, except emergency medical technicians",13,–,9,–,4,–
"Bus drivers, school",115,660,46,–,69,650
"Bus drivers, transit and intercity",224,911,150,979,74,811
Driver/sales workers and truck drivers,"2,709","1,005","2,560","1,016",149,734
Shuttle drivers and chauffeurs,47,–,44,–,3,–
Taxi drivers,218,865,190,925,29,–
"Motor vehicle operators, all other",114,813,95,865,19,–
Locomotive engineers and operators,45,–,43,–,1,–
Railroad conductors and yardmasters,53,"1,642",50,"1,656",3,–
Other rail transportation workers,27,–,24,–,2,–
Sailors and marine oilers,16,–,12,–,3,–
Ship and boat captains and operators,27,–,27,–,0,–
Ship engineers,3,–,3,–,0,–
Parking attendants,41,–,37,–,4,–
Transportation service attendants,44,–,38,–,7,–
Transportation inspectors,35,–,32,–,4,–
Passenger attendants,25,–,9,–,16,–
Other transportation workers,29,–,24,–,5,–
Crane and tower operators,55,"1,316",54,"1,326",1,–
"Conveyor, dredge, and hoist and winch operators",21,–,19,–,2,–
Industrial truck and tractor operators,583,809,526,812,57,786
Cleaners of vehicles and equipment,299,694,242,704,57,605
"Laborers and freight, stock, and material movers, hand","1,584",765,"1,235",801,349,685
Machine feeders and offbearers,29,–,13,–,16,–
"Packers and packagers, hand",484,698,229,732,255,667
Stockers and order fillers,"1,084",706,729,730,355,667
Pumping station operators,18,–,17,–,1,–
Refuse and recyclable material collectors,74,762,69,789,5,–
Other material moving workers,50,889,38,–,11,–
,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,
